PredictEd Knowledge Map,Version,11,LTM
the,14978,past,initial,council,future,deadline,27,20,9,7,1
both,192,the,of,a,national,an,20,10,4,1,1
each,192,other,of,year,new,house,26,16,9,2,1
being,192,the,used,met,localized,interviewed,19,7,1,1,1
out,192,of,in,what,existing,—,59,8,1,1,1
later,189,the,by,huxley,interpolations,application,4,2,1,1,1
up,188,to,of,with,their,taking,37,8,7,4,1
them,187,in,as,above,their,where,12,6,1,1,1
world,186,music,could,diseases,press,team,2,1,1,1,1
main,183,memory,services,islands,with,engine,2,1,1,1,1
often,183,used,a,represents,in,to,11,7,1,1,1
any,177,other,related,specific,cards,solutions,22,2,1,1,1
people,176,in,are,who,and,that,9,8,8,6,2
i,176,can,saw,walk,comnenus,frantically,4,2,1,1,1
number,175,of,had,four,ones,plates,119,2,1,1,1
three,175,years,of,children,squadrons,curriculums,13,5,4,1,1
then,174,that,being,proceed,space,absorbs,3,2,2,1,1
system,174,and,in,by,as,integration,8,5,3,3,1
will,174,be,use,enable,establish,give,34,2,2,1,1
could,165,be,operate,net,do,change,48,1,1,1,1
she,165,was,obliged,read,model,married,24,1,2,1,1
through,165,the,a,each,physical,rare,61,11,1,1,1
where,164,the,he,his,she,food,41,10,5,4,1
since,159,the,its,a,left,sigismund,46,5,3,1,1
high,158,school,speed,as,mortality,nobility,14,3,2,1,1
work,155,on,with,is,may,openly,18,6,3,2,1
city,154,hall,botanical,began,covering,followed,4,1,1,1,1
states,154,and,of,in,to,has,13,8,6,4,1
before,151,the,daniel,use,relocating,doing,33,1,1,1,1
well,149,as,in,over,to,variants,58,3,3,3,1
called,149,a,de,death,john,gp,19,1,1,1,1
same,149,year,role,energy,parameter,with,9,2,1,1,1
known,147,as,to,for,among,fixed,76,21,10,1,1
under,146,the,two,age,colonizing,monroe,57,1,1,1,1
state,146,of,government,was,legal,found,22,3,2,1,1
early,144,incidence,twentieth,quotes,history,evidence,1,1,1,1,1
even,143,though,if,higher,view,against,13,5,2,1,1
year,143,to,eve,is,instead,watching,3,3,3,1,1
war,143,was,had,broke,roosevelt,at,4,3,3,1,1
several,138,days,sources,games,successful,concerts,2,1,1,1,1
became,138,the,a,obsolete,king,charles,27,17,1,1,1
power,136,in,source,below,harvesting,system,8,1,1,1,1
much,134,of,less,advanced,different,research,36,6,1,1,1
until,130,the,they,around,august,january,33,5,3,2,1
part,130,of,in,to,and,due,92,6,4,2,1
government,130,officials,has,sent,regained,economic,3,3,1,1,1
example,129,of,is,was,near,a,19,7,2,1,1
those,128,who,under,age,being,lost,18,1,1,1,1
another,128,was,coworker,camp,planetesimal,son,1,1,1,1,1
united,127,states,kingdom,nations,to,all,86,17,9,1,1
different,126,ways,types,orthographies,locations,usage,3,2,1,1,1
although,125,this,a,each,master,absolute,5,4,1,1,1
set,125,up,in,by,foot,before,14,7,3,1,1
convert,124,long,from,heat,that,altitude,8,2,1,1,1
large,121,number,portion,main,events,macedonian,8,3,1,1,1
long,120,as,time,ac,distances,at,12,3,1,1,1
very,119,sensitive,loud,damaging,rugged,fast,2,1,1,1,1
form,116,of,a,is,an,during,41,10,8,2,1
including,115,the,those,disconnected,proposition,temporal,23,5,1,1,1
using,114,the,pop,heavy,expert,differently,20,1,1,1,1
life,114,and,of,interest,on,rather,14,7,1,1,1
around,113,the,this,europe,storms,goosnargh,33,3,1,1,1
due,112,to,in,care,largely,by,105,3,1,1,1
what,110,they,he,the,has,to,10,6,3,2,2
second,110,time,human,dose,coup,story,3,1,1,1,1
found,109,the,throughout,themselves,by,him,5,4,2,2,2
did,109,not,the,make,possess,travis,77,5,1,1,1
public,108,schools,for,life,policies,private,2,2,1,1,1
own,108,fiction,rules,fully,teams,room,1,1,1,1,1
within,107,the,a,an,nuclei,almost,51,6,1,1,1
common,106,ventilation,call,feature,type,words,1,1,1,1,1
s,105,imperfections,v,were,in,induces,1,1,1,1,1
century,104,it,book,—,artist,by,2,1,1,1,1
among,104,the,other,these,further,its,31,5,2,1,1
water,103,is,to,port,quality,temperatures,7,4,1,1,1
usually,103,in,been,work,indicated,underpowered,2,2,1,1,1
national,102,park,and,trust,referendum,indigenous,7,3,2,2,1
against,101,the,deportivo,espanyol,john,fraser,39,1,1,1,1
small,101,sections,common,expedition,dogs,grocery,1,1,1,1,1
history,100,of,and,in,as,had,23,6,4,3,1
end,100,of,to,up,war,southern,53,5,5,1,1
few,99,months,days,members,authors,common,4,2,2,1,1
us,99,and,general,number,single,around,5,1,1,1,1
does,97,not,exist,on,require,every,65,2,2,2,1
four,97,times,hit,dwellings,clover,canonical,4,1,1,1,1
left,97,the,to,that,national,cuba,12,3,2,1,1
do,95,not,so,better,is,demonstration,47,4,1,1,1
death,95,in,by,was,citation,two,8,5,3,1,1
series,95,of,in,northrop,are,featuring,26,2,1,1,1
given,95,a,by,noun,special,off,7,6,1,1,1
group,94,of,and,to,also,match,22,5,3,1,1
still,93,be,empowered,continues,available,faced,7,1,1,1,1
film,93,was,he,for,caught,capturing,10,2,2,1,1
we,93,are,have,found,define,ask,7,5,1,1,1
general,92,staff,services,ali,antipater,merchandisers,3,1,1,1,1
human,91,development,and,is,to,needs,2,2,2,1,1
without,89,the,them,rain,vibrato,associated,10,2,1,1,1
day,88,of,after,for,earlier,without,3,2,2,1,1
like,88,the,this,mae,mak,darkness,25,2,1,1,1
major,88,factor,re,role,author,drawback,2,1,1,1,1
order,88,to,of,recognizes,parsons,rather,37,10,1,1,1
said,88,to,that,in,error,she,22,18,3,1,1
considered,88,the,by,themselves,fully,area,10,4,2,2,1
single,87,hole,houses,failed,until,poems,1,1,1,1,1
language,87,of,is,for,may,design,9,6,2,1,1
army,87,and,officer,soldiers,under,would,6,2,2,2,2
great,87,quantities,masterpiece,expounder,popularity,vehemence,1,1,1,1,1
south,86,of,african,island,pacific,military,9,5,2,2,1
began,86,to,in,their,scribbling,offering,30,11,2,1,1
country,85,and,to,in,are,music,6,3,3,1,1
make,85,it,a,the,women,poorly,11,10,7,1,1
now,85,almost,allow,acquiring,bilateral,concentrated,3,1,1,1,1
systems,84,when,programming,beginning,solutions,may,1,1,1,1,1
place,84,in,during,match,subsequent,names,13,3,1,1,1
british,83,telecom,is,intelligence,isles,forces,1,1,1,1,1
back,83,to,and,bay,or,with,23,3,1,1,1
times,83,in,of,are,higher,from,4,3,3,2,1
man,82,and,of,called,satellite,remains,6,3,1,1,1
american,82,and,journal,foreign,government,settlers,3,2,1,1,1
following,82,the,year,a,world,jacques,19,7,5,2,1
modern,82,afghanistan,formulations,scholars,devices,voice,1,1,1,1,1
become,81,a,the,stuck,unstable,unsightly,17,5,1,1,1
name,81,of,paul,gangs,the,headbangers,10,1,1,1,1
north,81,america,of,island,warwickshire,station,17,6,1,1,1
less,81,than,frequently,effective,the,compact,22,6,1,1,1
must,81,be,also,do,all,agree,32,3,2,2,1
control,79,of,and,features,officer,administration,14,5,1,1,1
law,79,to,by,regarded,originally,states,4,2,1,1,1
million,79,in,slaves,if,renovation,upfront,7,2,1,1,1
area,79,of,around,based,east,denial,14,2,1,1,1
u,79,s,train,the,k,in,62,1,1,1,1
based,78,on,in,upon,firmly,standards,60,4,4,1,1
though,77,it,in,there,with,for,10,3,1,1,1
important,77,writings,example,development,essentialist,ally,1,1,1,1,1
every,77,day,non,time,red,interval,4,2,2,1,1
result,77,of,in,raynald,and,appears,25,15,1,1,1
house,77,of,in,has,types,or,13,7,1,1,1
point,77,in,is,to,i,and,6,5,3,1,1
english,77,language,translation,as,have,american,4,2,2,1,1
political,77,parties,bickering,leader,importance,interests,7,1,1,1,1
body,76,of,and,had,he,colors,14,6,1,1,1
members,76,of,to,are,who,from,36,2,2,1,1
original,76,aspects,colour,purpose,break,c,1,1,1,1,1
president,76,roosevelt,theodore,abdallah,mugabe,also,2,1,1,1,1
led,75,to,by,the,and,her,42,11,8,1,1
thus,75,allowing,elevating,was,leading,require,2,1,1,1,1
available,75,to,from,for,power,they,12,2,2,1,1
you,74,sixteen,of,is,push,come,1,1,1,1,1
last,74,for,full,edition,prophet,match,2,1,1,1,1
local,74,bathymetry,representatives,legend,amateur,color,1,1,1,1,1
book,73,to,by,describing,called,had,2,1,1,1,1
service,73,to,it,every,regularly,called,8,1,1,1,1
just,73,as,a,one,after,re,10,7,3,2,1
music,73,and,was,day,are,reprint,5,3,1,1,1
data,73,to,types,under,showed,needed,6,2,1,1,1
right,73,to,hand,side,could,sides,19,5,2,1,1
further,73,division,divided,stimulation,behind,military,1,1,1,1,1
way,73,to,in,that,out,i,15,3,3,1,1
air,72,force,in,conditioning,ratio,international,8,4,1,1,1
non,72,relationship,forms,plane,organization,or,1,1,1,1,1
international,72,space,scene,july,attention,conferences,1,1,1,1,1
school,72,in,for,building,is,opening,7,2,1,1,1
down,72,the,to,and,from,notes,15,7,6,4,1
developed,71,and,between,cumulonimbus,its,her,3,2,1,1,1
light,71,from,is,was,source,unit,7,3,3,1,1
french,71,army,were,culture,tutor,suggested,4,2,1,1,1
low,71,for,microcontroller,rainfall,b,rumbling,2,1,1,1,1
age,70,of,or,and,spread,away,21,5,4,1,1
family,70,and,was,as,sued,if,6,5,2,1,1
similar,70,to,in,quotes,technique,monopoly,31,6,1,1,1
level,70,of,in,is,surrounding,through,17,3,2,1,1
off,70,the,to,if,une,by,18,4,1,1,1
see,70,the,each,democracy,acoustic,than,8,2,1,1,1
late,70,century,march,president,king,july,2,2,2,1,1
university,70,of,press,in,he,authorities,22,7,5,1,1
having,69,a,to,sex,virtually,his,10,7,2,1,1
church,69,of,is,in,the,members,8,4,3,1,1
process,69,of,is,—,took,that,9,4,1,1,1
various,69,motor,parts,employers,companies,nations,1,1,1,1,1
term,68,was,and,altitude,elevation,quickly,4,1,1,1,1
women,68,relying,names,the,under,choose,1,1,1,1,1
throughout,68,the,his,history,german,central,37,5,2,1,1
support,68,for,of,from,to,additional,9,4,3,2,1
development,68,of,and,for,was,index,20,7,1,1,1
sometimes,68,used,called,just,contacted,breaks,5,3,2,1,1
pp,67,people,#,#,#,#,1,0,0,0,0
areas,67,of,such,that,around,where,13,3,2,1,1
per,67,year,unit,holager,billion,aircraft,8,2,1,1,1
field,66,and,would,bets,bettor,was,2,1,1,1,1
full,66,of,year,manager,five,invasion,4,1,1,1,1
seen,66,as,in,a,from,through,16,12,4,3,1
black,66,and,hole,baptists,rat,sabbath,5,2,1,1,1
popular,66,form,songs,dislike,movies,focus,3,2,1,1,1
case,66,of,the,study,means,histories,18,3,1,1,1
home,66,to,games,when,the,jerseys,8,3,1,1,1
old,65,world,stallions,carved,botswana,summer,1,1,1,1,1
once,65,again,he,douglass,there,municipal,9,3,1,1,1
period,65,of,and,lasting,seems,remain,19,2,1,1,1
de,65,la,re,vabres,werbecque,zayas,9,1,1,1,1
july,65,the,#,#,#,#,1,0,0,0,0
held,64,at,steady,misconception,january,up,5,2,1,1,1
how,64,the,many,easily,all,fast,13,2,1,1,1
word,64,and,processors,from,lape,college,3,3,1,1,1
season,64,for,at,are,nine,from,5,4,1,1,1
east,64,of,and,african,coast,side,9,4,3,3,2
took,64,place,on,part,advantage,many,15,3,3,2,1
team,64,presented,over,competes,had,cup,1,1,1,1,1
included,64,the,kevin,are,is,brilliant,9,1,1,1,1
others,64,who,it,utilized,which,or,3,2,1,1,1
upon,63,the,his,a,its,soviet,11,7,3,1,1
never,63,commercialized,afraid,entirely,left,controlled,1,1,1,1,1
side,63,of,and,effects,madina,were,31,2,2,1,1
king,63,of,surviving,death,to,instead,9,1,1,1,1
york,62,city,sought,edition,happercollins,public,11,1,1,1,1
services,62,and,to,had,administration,firms,7,3,2,1,1
came,62,to,from,out,on,across,21,9,3,3,1
sea,62,level,lion,frontiers,police,on,5,2,1,1,1
six,62,years,to,hiatus,crew,feet,4,3,1,1,1
line,61,of,in,between,may,passed,7,6,3,1,1
above,61,the,a,sea,that,in,17,5,2,1,1
third,61,party,pass,support,wave,degree,2,1,1,1,1
making,61,them,money,further,two,an,4,2,1,1,1
m,60,s,o,howitzer,over,−,2,1,1,1,1
show,60,that,an,at,producer,and,6,2,2,1,1
free,60,of,and,market,ice,memory,6,5,1,1,1
five,60,years,requisite,programs,european,story,7,1,1,1,1
according,60,to,#,#,#,#,60,0,0,0,0
force,60,in,on,that,was,had,3,3,2,2,1
space,60,for,fantasy,station,per,from,4,1,1,1,1
together,59,with,to,kill,are,generations,17,4,1,1,1
generally,59,designated,located,crystallises,semi,supported,1,1,1,1,1
along,59,the,with,a,jed,shanti,24,20,2,1,1
hand,59,of,combat,and,during,began,3,2,1,1,1
games,59,at,scheduled,was,a,have,2,1,1,1,1
population,59,in,has,were,also,increases,3,2,2,1,1
should,59,be,increase,cooperate,travel,begin,27,1,1,1,1
german,59,frontier,jurist,writer,war,eastern,1,1,1,1,1
theory,59,of,is,was,caused,are,12,3,2,1,1
either,59,the,house,setting,glued,reasoning,4,2,1,1,1
take,59,place,her,at,office,from,9,1,1,1,1
wrote,59,the,that,a,at,letters,9,8,4,2,1
military,58,adventures,delegation,power,plan,officers,1,1,1,1,1
present,58,in,day,time,with,to,9,5,2,2,1
higher,58,than,intake,potential,amounts,at,9,1,1,1,1
europe,58,and,had,kings,amongst,such,8,2,1,1,1
men,58,and,were,reached,sails,dressed,9,5,1,1,1
works,58,in,by,such,best,have,4,3,3,2,1
again,58,in,from,they,enjoying,lost,7,1,1,1,1
company,58,in,realized,cambridge,for,then,2,1,1,1,1
e,58,g,w,server,instead,c,14,1,1,1,1
social,58,and,theory,issues,equity,strata,6,1,1,1,1
played,57,at,several,there,so,to,3,1,1,1,1
story,57,of,in,arcs,every,goes,13,4,1,1,1
released,57,in,by,their,several,it,14,3,1,1,1
words,57,and,of,with,introduced,would,9,5,2,1,1
design,57,of,and,concept,they,described,8,3,1,1,1
value,57,of,and,theorems,raises,it,24,2,1,1,1
include,56,the,all,motivation,discrimination,becoming,10,3,1,1,1
production,56,and,was,coming,by,background,4,2,1,1,1
run,56,from,at,the,for,with,3,3,2,1,1
america,56,describes,ireland,around,there,for,1,1,1,1,1
too,56,much,large,busy,frightened,uncertain,8,2,2,1,1
children,56,of,were,if,magazine,on,7,2,1,1,1
groups,56,of,and,involved,met,based,6,2,1,1,1
died,55,in,on,aged,several,when,15,5,1,1,1
current,55,non,usage,active,software,evidence,1,1,1,1,1
certain,55,types,point,situations,constraints,pndc,2,1,1,1,1
effect,55,on,of,is,in,disappeared,12,11,6,2,1
west,55,of,virginia,to,end,gas,6,3,3,2,1
particular,55,pesticides,media,bug,measurements,citizen,1,1,1,1,1
events,55,of,were,that,leading,brought,4,3,3,2,1
rate,54,of,tester,was,and,held,14,2,2,2,1
march,54,towards,have,donizetti,his,longstreet,2,1,1,1,1
countries,54,see,were,are,outlaw,could,1,1,1,1,1
fact,53,that,argued,implemented,due,simply,23,1,1,1,1
despite,53,chilly,possible,her,an,appearing,1,1,1,1,1
top,53,of,speed,is,edge,market,18,3,1,1,1
g,53,tube,when,capital,β,βγ,1,1,1,1,1
change,53,the,his,of,to,using,6,2,2,2,1
started,53,to,in,and,some,using,8,5,2,2,1
possible,53,that,obstacles,combinations,extension,under,4,1,1,1,1
play,53,the,a,behaviors,went,formula,4,3,1,1,1
instead,53,of,end,offers,that,to,26,1,1,1,1
white,53,house,beard,churches,to,land,4,1,1,1,1
character,52,for,as,not,from,passed,2,2,1,1,1
parts,52,of,per,were,stored,a,36,3,1,1,1
established,52,in,as,and,trading,liaison,8,3,2,1,1
society,52,in,and,by,stories,within,4,2,1,1,1
court,52,has,and,for,verdict,justice,2,2,2,1,1
himself,52,to,was,and,again,this,7,3,2,1,1
earth,52,as,is,because,axial,trajectory,3,2,1,1,1
means,52,of,sensations,memories,which,it,16,1,1,1,1
individual,52,corporations,determination,believes,has,survives,1,1,1,1,1
energy,52,is,as,primarily,than,control,2,2,1,1,1
information,51,about,that,on,with,concerning,4,3,3,1,1
surface,51,to,and,which,area,states,4,3,1,1,1
short,51,commodore,distances,conversation,visits,lifespan,1,1,1,1,1
player,51,must,gets,does,expects,will,3,2,1,1,1
built,51,in,on,of,applications,and,12,5,1,1,1
real,51,name,is,madrid,line,space,1,1,1,1,1
art,51,and,deco,pp,nouveau,that,7,2,1,1,1
half,51,of,the,a,times,life,20,3,3,1,1
allowed,51,to,him,the,in,his,11,7,6,3,1
taken,51,from,into,as,aback,prisoner,9,2,1,1,1
research,51,into,has,of,mixed,had,3,2,1,1,1
cases,51,of,the,ao,like,these,8,2,1,1,1
written,51,by,about,several,and,the,7,3,1,1,1
almost,51,all,no,exclusively,synonymous,trivial,9,3,2,1,1
cannot,51,be,yet,free,take,defend,20,3,1,1,1
county,50,convention,prompted,officials,executive,water,1,1,1,1,1
rather,50,than,intended,like,disparaging,about,35,1,1,1,1
next,50,two,night,node,deal,if,4,1,1,1,1
position,50,to,as,or,for,after,5,5,1,1,1
range,50,of,in,can,running,extender,22,3,2,1,1
nature,49,and,escapist,in,spirituality,poems,8,1,1,1,1
river,49,and,at,the,south,sciences,3,2,1,1,1
continued,49,to,until,in,jockeying,his,20,3,2,1,1
significant,49,achievement,and,number,to,maintenance,1,1,3,1,1
source,49,of,or,mumps,is,host,18,1,1,1,1
sent,49,to,by,a,the,for,8,5,4,3,1
practice,49,to,as,became,is,dark,3,2,1,1,1
total,49,of,score,output,nationwide,touchdowns,9,1,2,1,1
types,49,of,are,to,were,an,29,3,1,1,1
standard,48,way,that,example,have,no,3,1,1,1,1
father,48,policies,zechariah,talent,had,garnet,1,1,1,1,1
provide,48,food,federal,adequate,free,france,1,1,1,1,1
especially,48,in,for,common,fluid,prized,9,3,2,1,1
loss,48,of,to,rises,indicates,for,24,3,1,1,1
published,48,in,by,the,as,under,10,10,4,2,1
physical,48,and,characteristics,displacement,trauma,deception,6,2,1,1,1
studies,48,have,the,series,combinatorics,relating,6,2,1,1,1
itself,48,is,a,in,the,used,4,4,3,2,1
addition,48,to,of,fuel,or,allowed,22,5,1,1,1
god,47,is,had,follow,our,nearest,3,1,1,1,1
least,47,one,three,two,half,six,4,3,3,2,1
lower,47,intake,rhine,gravity,energy,for,1,1,1,1,1
john,47,the,osbeck,future,isner,lomax,2,1,1,1,1
land,47,and,of,area,without,that,5,4,3,2,2
thought,47,to,of,this,he,the,7,3,2,1,1
western,47,australia,europe,art,literature,transvaal,3,2,1,1,1
changes,47,in,was,sign,and,for,10,1,1,1,1
whether,47,the,they,or,a,to,9,4,3,3,2
island,46,in,was,to,that,attacked,3,2,1,1,1
october,46,to,and,#,#,#,2,1,0,0,0
program,46,has,would,through,a,approved,2,2,1,1,1
june,46,and,to,but,they,#,3,2,1,1,0
always,46,be,to,follow,take,finished,2,1,1,1,1
terms,46,like,in,modulo,very,relegalization,2,1,1,1,1
head,46,of,and,coach,was,master,11,4,3,2,1
idea,46,of,that,is,until,in,18,7,5,1,1
natural,46,notes,law,hazard,minor,stone,2,1,1,1,1
provided,46,a,the,that,considerable,some,5,3,2,1,1
evidence,46,of,that,indicates,shows,from,15,6,3,1,1
type,46,of,flip,⊥,systems,called,22,1,1,1,1
therefore,46,be,potentially,life,requires,excluded,4,1,1,1,1
ii,46,and,were,death,frederick,obtained,4,1,1,1,1
version,46,of,and,was,that,the,22,2,2,2,1
structure,46,of,by,legally,that,within,9,1,1,1,1
open,45,source,market,question,taking,base,5,2,1,1,1
v,45,and,versions,tend,cholerae,did,2,1,1,1,1
species,45,of,are,included,proposed,he,7,3,1,1,1
themselves,45,as,with,afrikaner,among,positioned,5,4,1,1,1
august,45,have,september,as,and,matthiae,1,1,1,1,1
days,45,of,later,after,looking,between,7,4,4,1,1
good,45,deeds,standing,teacher,health,years,1,1,1,1,1
party,45,ram,cadres,is,secretary,has,1,1,2,1,1
spanish,45,language,empire,loanwords,tourist,army,3,2,1,1,1
my,45,brother,dearest,age,fathers,record,2,1,1,1,1
market,45,for,in,policies,pressures,share,3,3,1,1,1
final,45,season,puebla,destination,figures,blow,2,1,1,1,1
red,45,sox,army,hair,clown,bull,4,4,2,1,1
code,45,is,yyww,using,rs,elements,4,1,1,1,1
problems,44,with,associated,of,casa,too,5,2,2,1,1
give,44,the,her,all,superior,examples,11,1,1,1,1
business,44,schools,development,so,environment,centre,1,1,1,1,1
role,44,in,of,as,from,games,15,10,5,2,1
typically,44,very,store,connect,assumed,accompanied,1,1,1,1,1
points,44,of,where,out,raised,has,5,3,3,1,1
act,44,of,to,was,is,regulating,13,3,2,1,1
center,44,of,was,olive,itself,structural,8,2,1,1,1
member,44,of,states,was,julie,and,21,5,1,1,1
come,44,to,from,easy,closer,into,11,8,1,1,1
january,44,and,#,#,#,#,1,0,0,0,0
ability,44,to,of,noticeably,they,the,27,4,1,1,1
required,44,to,for,little,tolerance,both,11,3,1,1,1
described,43,as,by,in,lucovsky,this,13,6,4,1,1
official,43,discourse,slackware,encouragement,act,positions,1,1,1,1,1
able,43,to,and,#,#,#,42,1,0,0,0
view,43,of,that,the,altogether,which,13,4,3,1,1
best,43,friend,interpretation,examples,for,possible,2,1,1,1,1
forces,43,to,operating,but,of,numbered,3,2,1,1,1
features,43,of,with,per,and,solely,5,1,1,1,1
england,43,four,to,player,before,belonged,1,1,1,1,1
town,43,of,has,equipped,had,pawnshop,10,1,1,1,1
related,43,to,data,concepts,theme,languages,17,2,2,1,1
across,43,the,america,everquest,in,malta,25,2,1,1,1
lost,43,in,the,influence,by,aria,2,2,1,1,1
increased,43,from,popularity,risk,for,steadily,3,1,1,1,1
education,43,and,rankings,at,to,buildings,4,1,1,1,1
created,43,by,a,to,the,under,10,8,5,3,1
x,42,mentored,scans,control,crystal,without,1,1,1,1,1
european,42,union,cups,countries,prospective,weapon,5,1,1,1,1
b,42,may,s,string,c,v,2,1,1,1,1
science,42,fiction,among,novels,which,or,6,1,1,1,1
months,42,later,after,of,before,it,4,4,2,1,1
effects,42,of,on,technicians,at,that,13,6,1,1,1
computer,42,to,security,led,company,used,4,1,1,1,1
young,42,man,girl,adults,age,teenager,3,2,2,2,1
key,42,trait,areas,highway,west,notch,1,1,1,1,1
money,42,for,from,in,securely,than,2,2,2,1,1
lead,42,character,in,suit,and,at,2,2,1,1,1
need,41,to,for,their,and,additional,13,10,1,1,1
f,41,case,system,in,e,has,1,1,1,1,1
roman,41,catholic,emperor,london,ruins,times,5,3,1,1,1
date,41,of,code,as,actually,was,12,2,2,1,1
books,41,have,and,in,prohibited,to,3,3,2,1,1
love,41,affair,with,and,is,editing,3,3,2,1,1
access,41,to,the,of,infra,celebrities,19,2,1,1,1
difficult,41,to,for,experience,on,business,18,4,1,1,1
might,41,have,be,include,disqualify,result,9,5,1,1,1
numbers,41,are,is,or,n,notes,3,1,1,1,1
edition,41,of,in,quickly,includes,onwards,11,1,1,1,1
economic,41,growth,policies,boom,writings,analysis,3,2,1,1,1
uses,41,the,a,only,illumination,masculinities,8,6,1,1,1
returned,41,to,there,as,only,guayaquil,26,1,1,1,1
direct,41,and,flights,evidence,quotation,moorish,5,3,2,1,1
temperature,41,and,ranges,also,inversion,extremes,6,2,1,1,1
press,41,that,conference,briefing,in,music,2,2,1,1,1
direction,41,of,to,can,finder,as,9,2,1,1,1
independent,41,of,submission,shops,congregations,youth,6,2,1,1,1
mother,40,with,replaced,in,disapproved,although,2,1,1,1,1
introduced,40,in,into,a,and,their,7,3,3,2,1
december,40,dropped,and,#,#,#,1,1,0,0,0
added,40,to,that,and,stealth,singly,14,3,1,1,1
material,40,transports,such,required,culture,resources,1,1,1,1,1
st,40,albans,gall,helier,aubyn,georgen,2,1,1,1,1
